brand,model,submodel,year,age,mileage,mileage_per_year,mileage_missing,gear,engine,color,price,priceType,sourceName,sourceType,sourceUrl,externalId,dateRecorded,created_at,updated_at,id
NISSAN,ALMERA,ALMERA 1.2 E SPORTECH,2017,8,100000,12500,1,AT,UNKNOWN,UNKNOWN,142000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17287
NISSAN,ALMERA,ALMERA 1.2 S MAN,2017,8,100000,12500,1,UNKNOWN,UNKNOWN,UNKNOWN,129500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17288
NISSAN,ALMERA,ALMERA 1.2 VL,2017,8,100000,12500,1,UNKNOWN,UNKNOWN,UNKNOWN,172000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17289
NISSAN,ALMERA,ALMERA 1.2 VL NISMO,2017,8,100000,12500,1,UNKNOWN,UNKNOWN,UNKNOWN,183000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17290
NISSAN,ALMERA,ALMERA 1.2 E,2016,9,100000,11111.11111,1,AT,UNKNOWN,UNKNOWN,122000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17291
NISSAN,ALMERA,ALMERA 1.2 E SPORTECH,2016,9,100000,11111.11111,1,AT,UNKNOWN,UNKNOWN,130000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17292
NISSAN,ALMERA,ALMERA 1.2 S MAN,2016,9,100000,11111.11111,1,UNKNOWN,UNKNOWN,UNKNOWN,103000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17293
NISSAN,ALMERA,ALMERA 1.2 VL,2016,9,100000,11111.11111,1,AT,UNKNOWN,UNKNOWN,147500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17294
NISSAN,ALMERA,ALMERA 1.2 VL SPORTECH,2016,9,100000,11111.11111,1,AT,UNKNOWN,UNKNOWN,155000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17295
NISSAN,ALMERA,ALMERA 1.2 VL SPORTECH,2015,10,108000,10800,1,UNKNOWN,UNKNOWN,UNKNOWN,137500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17296
NISSAN,ALMERA,ALMERA 1.2 E,2015,10,108000,10800,1,AT,UNKNOWN,UNKNOWN,112000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17297
